Text	TrueLabel	PredictedLabels(Top-5)
30 texas wineries on site. food and wine fest, october 22, 2016	9 ❤	['😎', '📷', '😂', '😉', '💯']
family fun on ️ …	9 ❤	['😊', '😜', '❤', '😁', '💕']
spanish 2 students are speed dating darby high school	8 😘	['💙', '💯', '💜', '💕', '😎']
happy birthday to the biggest pain in my ass u old af and still a lil bitch but i'm so lucky…	9 ❤	['😘', '😊', '❤', '🇺🇸', '💕']
thanks family for coming to the show …	8 😘	['😘', '😊', '❤', '💜', '💕']
two of my favorite humans 's green grocery	9 ❤	['😍', '❤', '💕', '💜', '😉']
sweet caroline! good times never felt so good!! …	14 💙	['😊', '☀', '😁', '😎', '😉']
merry christmas & happy holidays from all of us at 4 season's! , new jersey	5 🎄	['🎄', '✨', '😘', '😊', '🇺🇸']
saturday sunrise city, utah	13 ✨	['😜', '☀', '🔥', '✨', '😁']
lol . thanx to…	8 😘	['😂', '😜', '😁', '😉', '📷']
this boy loves lights!. …	5 🎄	['💙', '❤', '😍', '💕', '😁']
sushi all you can eat japanese restaurant	17 😊	['😜', '😉', '😁', '😍', '😘']
blue ridge parkway mini road trips to see the leaves with…	14 💙	['💙', '📷', '🇺🇸', '😎', '💕']
happy birthday beast! i'm glad i convinced mom and dad to get another dog , north carolina	15 💕	['😘', '❤', '💜', '😊', '💕']
️ ️ ️ and country san diego	9 ❤	['🇺🇸', '💙', '📷', '😍', '😂']
here's a rare photo captured of me locked into my computer editing videos like a machine do…	3 😂	['📸', '😂', '📷', '😜', '😉']
last night was valid northport, new york	16 😎	['✨', '🔥', '📸', '📷', '😍']
little girl. 's magic kingdom	0 😜	['✨', '😍', '💕', '😊', '💜']
not only is her pen game ridiculous,... her is stop what your doing & check out…	7 🔥	['💯', '🔥', '😎', '😉', '😂']
beach miami	16 😎	['☀', '😎', '📷', '😜', '💙']
time to decorate rileyhiggins4 , massachusetts	5 🎄	['😁', '😊', '😎', '✨', '😂']
it was such a great show!!! met all of my expectations!! ps. if you guys have the app keep…	9 ❤	['😊', '😁', '😉', '💕', '❤']
shoutout the dj spinnin that "8 figures" off kingology tho its littttt hookah…	7 🔥	['😂', '🔥', '💯', '😍', '😁']
bellagio water showtime with my ️ water show	9 ❤	['☀', '😉', '💙', '😜', '📸']
hours of drip castles...literally hours …	2 😍	['😜', '😁', '😂', '💙', '🇺🇸']
release party by show room	1 📸	['🔥', '📷', '😜', '✨', '😎']
end	11 🇺🇸	['💜', '😁', '😂', '💕', '😍']
50th street, nyc	9 ❤	['📷', '🇺🇸', '✨', '❤', '😜']
i love lake days with my puppers lanier	2 😍	['❤', '💕', '💜', '😘', '😍']
my workstation this evening h. keller park	10 😁	['📷', '📸', '😎', '❤', '😊']
makebreaktoday at michael's! we made wreaths.	2 😍	['😜', '📸', '😍', '😂', '😉']
on n on …	6 📷	['😜', '📸', '😍', '😂', '😉']
something about taking off on a plane just makes me feel kinda happy lol i had free wifi and…	15 💕	['😂', '😁', '😊', '😉', '😘']
two favorite boys , arkansas	15 💕	['😍', '❤', '💙', '💕', '💜']
sis day is everydayyyy …	15 💕	['😁', '☀', '😎', '😊', '💙']
in the great big middle hwy 5 santa nella, ca	9 ❤	['😊', '😁', '💕', '😎', '😉']
the best wines are the ones we drink with friends krsern…	9 ❤	['💕', '💜', '💙', '❤', '😘']
the vows. : twobbees , georgia	1 📸	['💯', '😂', '💙', '✨', '📸']
my beautiful cousin on her big day ️ ️ ️ diego,…	9 ❤	['☀', '😍', '😎', '😁', '😊']
"ford model t? i gots this!" …	16 😎	['📷', '📸', '✨', '😍', '😘']
a1 since day 1 and cloth color wall	15 💕	['😁', '☀', '😎', '😊', '💜']
supes cute happy grand opening blackfilenails!! file -…	15 💕	['😘', '🇺🇸', '😊', '💜', '💕']
️love, is a four letter word that heals all and covers all…	9 ❤	['💯', '😉', '😂', '📷', '🔥']
amazing shoes at ️ nyfw …	9 ❤	['😍', '❤', '✨', '😘', '😉']
hello kitty! spotted this gigantic hk today in chinatown! central plaza	2 😍	['😁', '😎', '😍', '😉', '✨']
when bill gets home from work... bella gets so excited . …	3 😂	['💙', '😁', '😊', '😍', '😉']
blessed to see another beautiful day god created	19 💯	['☀', '😍', '😁', '💙', '💕']
driving mrs daisy home	3 😂	['💙', '❤', '😊', '😍', '😜']
bucky, the heartbreaker street market	2 😍	['📸', '😎', '🔥', '💙', '✨']
you can see it in her face. at least she has manners enough to give a fake smile gotta…	3 😂	['😁', '😊', '📸', '💯', '📷']
got this gem friday after gettin' squished. very important to take your health serious & check…	4 😉	['😜', '🔥', '😉', '😂', '😊']
be your own kind of beautiful ️ and love yourself for what you are.. not for what people wants…	9 ❤	['❤', '💕', '😍', '💜', '😘']
when lashes make your eyes smile a little more. wispy volume full set for tracy ️...... ️…	9 ❤	['😁', '😊', '😉', '😍', '😜']
little girl i'm watching is so scared of the automatic toilet so i had to help her pee and run out before it flushed	3 😂	['💕', '😉', '💜', '😍', '❤']
happy happy happy …	2 😍	['🇺🇸', '😘', '😊', '💜', '❤']
on our way home, the long way national park utah	16 😎	['📸', '📷', '😎', '🇺🇸', '😉']
something about sitting in the sand, listening to fleetwood mac ️ beach, california	9 ❤	['📸', '📷', '✨', '😎', '💙']
hello from san diego ca! my view from my campsite at san elijo state beach …	16 😎	['☀', '😎', '😍', '📷', '💙']
smiley smiley smiley! …	10 😁	['😜', '📸', '😍', '😂', '😉']
great vibes only antonio, texas	2 😍	['😎', '😊', '📸', '📷', '😁']
morning in ny york - new york hotel & casino las vegas	14 💙	['✨', '😍', '📸', '😎', '📷']
endurance day today! our clients totally killed it (per usual ). check out our new space! pretty…	7 🔥	['😎', '🔥', '✨', '😁', '📸']
when your ears are to big california adventure park	3 😂	['📷', '📸', '😎', '💙', '❤']
the anderson's square	13 ✨	['🇺🇸', '💯', '😊', '😍', '❤']
( dental center in marlborough, ma)	10 😁	['😉', '😍', '❤', '🇺🇸', '😁']
have a great weekend! : rachel_ann_83 , nevada	6 📷	['😊', '😁', '😉', '📷', '💜']
tonight tonight tonight... . if u see this you are invited. lounge	7 🔥	['🔥', '📸', '😜', '😊', '😉']
omg got a cute steven universe from the mystery box	2 😍	['😍', '😂', '😉', '😜', '💯']
i - thank you for my awesome new lanyard mels_a_bells !!! …	9 ❤	['✨', '😊', '😘', '🔥', '📸']
omg, we won!!! so flipping thrilled. thank you so much rk girls!…	9 ❤	['😘', '😊', '💜', '❤', '💕']
evvie's birthday celebrations with the family jam. ️ …	9 ❤	['❤', '😘', '💕', '😊', '💜']
legwarmers head live	9 ❤	['🔥', '📷', '💯', '✨', '😂']
had such an incredible time teaching sdf_seansdancefactory thankyou to everyone who came	7 🔥	['😁', '✨', '😊', '😎', '😂']
new bites here. the espresso is the best.. as well as everything else! by	1 📸	['✨', '🔥', '📸', '😍', '😉']
strippers chicago stripper bachelor party b-day toplesses nudy exotica firestrippers adult…	7 🔥	['😎', '🔥', '😜', '✨', '🎄']
eyes on the price. never looking back …	16 😎	['📸', '😍', '😜', '📷', '😉']
work in progress with ignacio_flores here at dogs tattoo and piercing	9 ❤	['😁', '😉', '😎', '😂', '😜']
lighting a bowl, with my feet hanging out of the ferris wheel ohh…	17 😊	['😁', '📸', '💜', '😜', '😉']
this will do city, south carolina	16 😎	['☀', '💕', '💙', '💯', '😊']
you are totally correct	4 😉	['😜', '💙', '😍', '😂', '😉']
your vibe transfers over to your kids dig deep for that smile, let them know how meaningful…	17 😊	['😉', '😜', '💯', '😂', '😎']
courtney refused to go any farther lol key beach fl	12 ☀	['☀', '😂', '😎', '😜', '📷']
your the yee to my haw music pavilion	4 😉	['🔥', '📸', '📷', '💜', '💯']
post turkey day ️ , florida	9 ❤	['☀', '😎', '😁', '😊', '💙']
lettermen of the usa and men of the iron bowl sam kearns ua cb (2008-11') mobile, al happy…	11 🇺🇸	['🇺🇸', '😉', '📷', '💯', '📸']
almost 2 months down, 3 weeks to go ️ ️ ️ pete's	9 ❤	['💙', '😁', '😍', '💕', '📸']
... oops wrong pic. this! (thanks dad john easton ) …	6 📷	['😂', '💯', '💜', '❤', '😜']
[new music] "really really really" by therealmrmidas produced by coming to a city…	7 🔥	['🔥', '📸', '💯', '😂', '😜']
dm if you want to work need beats : linkinbio county, florida	19 💯	['😉', '😜', '😎', '😂', '💯']
as i said . . . bryan is so excited! …	14 💙	['😂', '💯', '😜', '📸', '😁']
teamjoy finally joined me for beatz and i literally couldn't be happier …	10 😁	['😁', '😊', '😍', '😉', '💙']
12 performances, 12 visual artists. see you soon …	4 😉	['📷', '📸', '🔥', '😉', '💜']
rapunzel, rapunzel, let down your hair. disney knows how to make each land so unique	2 😍	['💯', '😉', '✨', '😜', '😂']
if you only knew how glad i am that you love jesus more than me!…	9 ❤	['❤', '💕', '😘', '💜', '😍']
as long as i can keep this smile on his face i'll be alright thank you to everybody who came…	10 😁	['😁', '😊', '😘', '❤', '💜']
just showing some ️ records	9 ❤	['😉', '😂', '😜', '💯', '😁']
kids protesting at battery park park	15 💕	['📷', '😎', '📸', '❤', '😊']
seek peek into my senior pics photography	13 ✨	['📷', '📸', '😉', '😎', '💜']
thanks for the at with	9 ❤	['😘', '💜', '😁', '💕', '😊']
look who i met in hirschfeld theatre	3 😂	['😍', '😂', '😜', '📷', '😉']
bet one of your followers would pay for shipping	17 😊	['💯', '😂', '😉', '✨', '😜']
with .... gardens	16 😎	['🎄', '💜', '☀', '😜', '😎']
date night ( rooftop in brooklyn, ny w/	17 😊	['🔥', '😍', '😘', '❤', '✨']
thankful to all law enforcement (especially those who let us cook for them )**reminder: first…	4 😉	['💕', '💙', '😉', '💯', '😜']
i guess you could say tennessee got..... smoked –denny…	16 😎	['😉', '😂', '😁', '😎', '😜']
samples shot the other day and i didn't hit publish for the video . …	3 😂	['📸', '📷', '😁', '😎', '💯']
exercise your right to vote. do it. (but seriously) united…	11 🇺🇸	['😂', '🔥', '😉', '💯', '😎']
proud of my 5th grader - he ️'s publix! biz town in tampa	9 ❤	['💜', '😁', '💕', '😍', '❤']
day 100 of day project!!!.we did it! while i am on day 91, i still feel…	19 💯	['😁', '☀', '😎', '😊', '🇺🇸']
york, new york	15 💕	['✨', '📸', '😍', '📷', '🔥']
& laurataylormarie in inn…	9 ❤	['😜', '📸', '😍', '😂', '😉']
grace wins every time. so much fun at with these ladies last night!…	18 💜	['😜', '😊', '😁', '😘', '💜']
we are excited . the wait is over! make sure you are picking up your goodonya punchcard and…	17 😊	['😁', '💯', '😜', '😉', '😊']
arriving to see my papi - seattle-tacoma international airport	9 ❤	['😎', '😍', '🇺🇸', '😁', '😜']
…	11 🇺🇸	['😜', '📸', '😍', '😂', '😉']
bbq hurricane with jambalaya rice! …	11 🇺🇸	['😎', '🔥', '😍', '😊', '😉']
either you run the day,or the day runs you. :____chrissyj____ atlanta village	1 📸	['😁', '☀', '😎', '😊', '📷']
happy anniversary nana and papa! celebrating 84 years of their connell family! 's…	9 ❤	['😘', '🇺🇸', '😊', '❤', '💜']
~everything good by the weekend~see u guys soon!!! country…	15 💕	['😊', '☀', '😁', '😎', '😉']
i've changed locations for the summer! i can't wait to share my stories with you …	17 😊	['💜', '😉', '😍', '😜', '😁']
missing you an the beach cod, massachusetts	15 💕	['☀', '😎', '💙', '💕', '📷']
be a work in progress, there's no such thing as perfect. there are times when i have to take…	13 ✨	['😉', '😂', '😁', '💯', '📸']
ahh!! beautiful creature though aquarium	18 💜	['😍', '☀', '💕', '❤', '💜']
double post, cause i'm obsessed. gardens	2 😍	['😜', '📷', '😂', '😉', '💜']
what should the name of our boy band be? .. chasingepicmtb.. …	1 📸	['💙', '💯', '📸', '❤', '😁']
pasteeeeeeel brazilian bakery	9 ❤	['📷', '😍', '💜', '🇺🇸', '💕']
mama and me -kildare, tx	9 ❤	['😁', '😍', '😉', '😊', '😜']
look who we had lunch with today! drive-in	17 😊	['😍', '😂', '😜', '😉', '😊']
my love! …	9 ❤	['😜', '📸', '😍', '😂', '😉']
well that explains a lot	4 😉	['😊', '😉', '😂', '😁', '🎄']
long time uab mhrc ypb member has a special request for y'all hope to see you next wednesday…	4 😉	['😁', '😊', '💜', '😉', '✨']
my lover took this photograph of me wearing "i ️ nj bud" tank from	9 ❤	['📷', '😜', '😁', '😂', '📸']
*virtual staged photos* *open house* sunday 8/27 11-1pm4712 page…	6 📷	['😊', '☀', '😎', '🔥', '😉']
back in the bk with bae center	15 💕	['😍', '😘', '😉', '❤', '💕']
i just love my timehop this time of year park, michigan	2 😍	['❤', '💕', '💜', '😘', '💙']
happy sweet 16th birthday to the sweetest girl. mama loves you girlfriend doggiehope ️	9 ❤	['😘', '❤', '💕', '💜', '😊']
this is a serious question hahahaha i'll love you forever 4th street	2 😍	['❤', '💕', '💜', '😘', '💙']
love!!! beach convention center	8 😘	['☀', '😎', '💙', '😍', '🇺🇸']
ave - delray beach	13 ✨	['☀', '😎', '📷', '💙', '😜']
merry christmas from the griswolds. phifer christmas house	5 🎄	['🎄', '❤', '😊', '✨', '😂']
clutch was clutch bar dallas	7 🔥	['😜', '😊', '🔥', '😉', '😎']
mah hood with & our • ,…	3 😂	['📷', '😂', '😎', '📸', '😊']
we'll get a little taste of the goodness at midnight . just a couple more hours til my…	4 😉	['😉', '😜', '😂', '😍', '😊']
my love.. hotel	15 💕	['😊', '😍', '💯', '📸', '❤']
hope everyone got out to enjoy this beautiful sunshiny day …	12 ☀	['😊', '😁', '😎', '😍', '☀']
state of the union address with the queen ballroom	11 🇺🇸	['😎', '😁', '💕', '💜', '💯']
happy birthday & mother's day to the woman that's made me who i am. cleirecristinacarrijo…	9 ❤	['😘', '😊', '🇺🇸', '❤', '💜']
always stunning even when stumbling	2 😍	['😍', '✨', '📸', '💕', '😉']
thanks for sitting through the rain and fog to support me babe i love you belk stadium	9 ❤	['😘', '💜', '❤', '💙', '💕']
tonight meet me 803lounge hosted by: music…	7 🔥	['🔥', '😜', '😁', '😎', '📸']
couldn't let y'all see this one yet... gotta wait till next month..lol …	7 🔥	['💯', '😉', '😜', '😁', '😎']
looking beyond the top of the rock. of the rock nyc	9 ❤	['📷', '📸', '😜', '✨', '😍']
thursday night premiere vibes abbey food & bar - west hollywood	13 ✨	['🔥', '😜', '✨', '😎', '😊']
they're wrong for this! pass jetties	3 😂	['😂', '😜', '📷', '😊', '😉']
me when any christina aguilera song comes on van buren	1 📸	['🔥', '💯', '💜', '😂', '😉']
happier days with at the museum of wax! always a smile on his face ️! …	9 ❤	['😁', '😊', '📷', '✨', '😂']
congrats to on his ud win. …	6 📷	['💜', '😘', '💙', '💯', '💕']
that chin tho	3 😂	['😂', '😍', '🔥', '😁', '😜']
october 13th, 2016 , new…	11 🇺🇸	['📷', '🔥', '💜', '😊', '😉']
grand plaza hotel	1 📸	['💯', '😍', '😊', '💜', '📸']
the star spangles tonight at union pool, brooklyn pool	11 🇺🇸	['🔥', '😎', '📸', '😜', '📷']
the sky was lit last night. my brother wasn't havin it	3 😂	['🔥', '💯', '💙', '😎', '💜']
my cousin casey is a doll! …	2 😍	['😘', '💙', '😍', '💜', '❤']
rafting adventures with the fam (& my dads new gopro )…	0 😜	['✨', '🔥', '📸', '😍', '💯']
i love these people. high school	9 ❤	['❤', '💙', '💕', '💜', '😘']
myers beach, florida	11 🇺🇸	['☀', '😎', '💙', '✨', '📸']
rare occasion catching up with my bro jonvalera happy belated birthday	16 😎	['😘', '😊', '🇺🇸', '❤', '💜']
out front annasuifashion runway show in by theborisproject …	6 📷	['📸', '🔥', '📷', '😉', '💜']
my new thing.	9 ❤	['✨', '🔥', '📸', '😍', '😉']
showstopper. incredible show by anniesahasibuan. photo by john garcia,…	6 📷	['📸', '📷', '😂', '✨', '💜']
one thing i know i will regret~ hahaha mexican grill	3 😂	['😉', '😂', '😜', '💯', '😁']
um tellin u my are the truth , new york	19 💯	['✨', '📸', '😍', '📷', '🔥']
thankful for beautiful friends that support and invite you to amazing geeky adventures …	18 💜	['😍', '💕', '❤', '💙', '💜']
love this video with gorgeous !!! makeup by …	13 ✨	['❤', '💕', '😘', '💜', '😍']
my baby boy , missouri	2 😍	['💙', '😍', '😘', '💕', '❤']
lmfao ": my ex called and i asked him if he tryna reserve a seat for thanksgiving.. niggas not low "	3 😂	['😂', '💯', '📸', '😉', '💜']
snapchat me that •selfie• if it's cool , kentucky	16 😎	['😎', '💙', '😁', '😉', '📸']
swing by saturday for our grand opening between 12-6pm & enter to win a full on glam…	13 ✨	['📷', '🔥', '😁', '😜', '✨']
today was amazing!! backstage tour and seeing the dress rehearsal = the small amount of pictures we…	19 💯	['😁', '✨', '😍', '😉', '💜']
the ultimate off-road adventure is just around the corner. …	1 📸	['😉', '😂', '😜', '😁', '💯']
24 little hours= dearevanhansen & home! we ny, even for a…	9 ❤	['💕', '😊', '💜', '😍', '😉']
amazing time last weekend in with zoo…	7 🔥	['😊', '😍', '😁', '✨', '😎']
thank you for this beautiful card! that envelope i am so grateful to have the…	2 😍	['😘', '😍', '❤', '💕', '😊']
a for the books for beautiful reny.jane ️ready to retire as for now...…	9 ❤	['😍', '☀', '💕', '❤', '💜']
love my baby. will miss you! city royals kauffman stadium	9 ❤	['❤', '💙', '💜', '💕', '😘']
sunset vibez center	15 💕	['😍', '😉', '❤', '🇺🇸', '😊']
have a great day rock canyon national conservation area	12 ☀	['😊', '😎', '😁', '📷', '🇺🇸']
loving the results from this transformation by our future pro hairgagadess …	2 😍	['😍', '😁', '😉', '💕', '💙']
this is one of the reasons why he's my favorite rapper, this man…	3 😂	['❤', '💕', '😍', '💜', '💙']
just met kimlycurry ! coffee	2 😍	['😉', '😜', '📷', '😂', '😁']
maddness friday after thanksgiving an event venue	16 😎	['📷', '🔥', '😊', '😎', '✨']
a beautiful night for a beautiful wedding congrats jack & drew!!!! portland, maine	13 ✨	['😍', '💕', '❤', '✨', '😘']
lillybelle's the lake! lake, wyoming	9 ❤	['😜', '📸', '😍', '😂', '😉']
rise and shine everyone	17 😊	['☀', '✨', '😎', '📸', '😁']
️healthy hair starts from inside out ️…	9 ❤	['😍', '💜', '✨', '😘', '📸']
stick n move - downtown knoxville, tn	19 💯	['📸', '😊', '😉', '😁', '😂']
from shopunderthings by ・・・she's an american girl...…	18 💜	['🇺🇸', '😉', '😎', '💜', '😁']
this one! ️ angeles, california	9 ❤	['📸', '📷', '✨', '😎', '💙']
has got me horror film center - dallas	9 ❤	['😉', '😍', '🔥', '😂', '😜']
i want the juice, big brother. …	3 😂	['😂', '😉', '😜', '😊', '💯']
your zaddy said i'm lookin' like a whole snack of…	0 😜	['😂', '😜', '😉', '📸', '💯']
i️ ️ my ymca	9 ❤	['😁', '😊', '📷', '😎', '💕']
oh heyyy mini s'mores protein cheesecake bites bookmark this recipe for a day when you just…	2 😍	['😁', '😎', '☀', '😊', '😍']
seriously there aren't even any roads and also verizon gets no service here	3 😂	['😂', '💯', '😍', '😉', '🇺🇸']
any idea where these coordinates lead to? cn tower! …	17 😊	['😁', '😂', '💕', '😍', '📸']
️ life your life courageously! , colorado	9 ❤	['💯', '✨', '📸', '❤', '💕']
odettehughesyoga doing her thing on a tuesday afternoon by leigh	15 💕	['😉', '💯', '😊', '😂', '😎']
merry christmas love, and sailors monument	5 🎄	['🎄', '❤', '✨', '💕', '😘']
more awesome photos from my bath bomb shoot w/ misumi♡ : misumi_photographyseries:…	1 📸	['📸', '📷', '😊', '😜', '😁']
this is such a beautiful place of southern…	2 😍	['😍', '✨', '☀', '❤', '💕']
time to celebrate tita's birthday!! family dinner …	9 ❤	['😊', '❤', '😁', '💜', '💙']
relaxing afternoon in ️ goose ny	12 ☀	['😍', '😁', '❤', '😎', '😊']
(traveling) home for the holidays midway international airport	5 🎄	['💙', '😍', '❤', '😊', '😎']
ya girl is guccii now …	8 😘	['😘', '💕', '💜', '😍', '❤']
club xc national championships! gate park	6 📷	['📷', '📸', '🇺🇸', '😎', '❤']
: raleigh	1 📸	['😜', '😍', '🔥', '😎', '❤']
summer ready grady salons atlanta	4 😉	['☀', '😎', '📷', '📸', '😜']
cosanostrakidd boy you kilt this shit bernardino, california	19 💯	['📸', '💯', '💙', '📷', '😂']
'the stars are the street lights of eternity.' , wisconsin	6 📷	['✨', '📷', '🎄', '📸', '🔥']
blessed beyond measure doodler de brazil - huntsville	9 ❤	['💕', '💙', '💜', '❤', '💯']
"suddenly i found myself on times square. i had traveled eight thousand miles…	2 😍	['💕', '📸', '😂', '📷', '😎']
can't stop the hustle! : …	1 📸	['😁', '✨', '📸', '😍', '💯']
i can finally post a picture of this pendant i made for my mom. i made it using a fire agate…	10 😁	['😊', '📸', '😁', '😂', '✨']
cooking angie her first of many more thanksgivings... all from scratch.. love you. bacon…	15 💕	['❤', '💕', '😘', '💜', '😍']
he look good	2 😍	['😊', '☀', '😂', '😉', '😁']
only insecure boys will belittle a woman. the greatest way to "man-up" is to empower…	19 💯	['💯', '😉', '😎', '😂', '💙']
gm ig fam now drop them last 4 digits, i'll go 1st 3617 …	12 ☀	['🔥', '💯', '💕', '💜', '😎']
can you guess what this is??? it's a giant ball made from gummy bears!! this ball of jelly…	2 😍	['😉', '😂', '😁', '😜', '😊']
long lost pics from a few monday's ago coventry	7 🔥	['📸', '😂', '💙', '😉', '😘']
put your hands up for new york. we love this city. …	11 🇺🇸	['❤', '😍', '💕', '😘', '💜']
christmas production is about to start . louis…	5 🎄	['🎄', '😁', '✨', '😊', '❤']
my two favorite things	2 😍	['💕', '❤', '😍', '✨', '😉']
always great to celebrate a former teammate's wedding day with my besties ️…	9 ❤	['😁', '😊', '😎', '💕', '☀']
it was a grand lunch with this bunch... ️ fam de chão	9 ❤	['😊', '😍', '💕', '😎', '❤']
cheesecake stuffed french toast with mixed berries …	17 😊	['😍', '😎', '😘', '📷', '💙']
howl at the moon ese , california	16 😎	['📸', '📷', '✨', '💜', '💙']
no hair don't care , michigan	10 😁	['😍', '💜', '😘', '💕', '😊']
it's about time i ate here ( tikka house in toronto, canada)	9 ❤	['😜', '😊', '😁', '😎', '😂']
park high school	7 🔥	['💙', '😎', '💜', '❤', '💕']
️ 2003 go-to ️ cruz, california	9 ❤	['📸', '📷', '✨', '😎', '💙']
love you & the beach gulf	14 💙	['❤', '💕', '😘', '💜', '💙']
total eclipse today, everyone be safe in watching it!!! happy monday everyone …	9 ❤	['🇺🇸', '😊', '😘', '😁', '💜']
we beachin cruz beach boardwalk	12 ☀	['☀', '😎', '📷', '💙', '😜']
park in nyc	9 ❤	['📷', '📸', '❤', '🇺🇸', '😎']
beach day at coney island …	14 💙	['☀', '😎', '😁', '📷', '💙']
was hysterical center	3 😂	['😍', '😉', '❤', '🇺🇸', '💜']
pretty in love with our vacation condo , ontario	2 😍	['💕', '❤', '😘', '💜', '😍']
my hubby 's mei was so sad that there was no cake left after the wedding that he surprised me…	9 ❤	['💕', '😍', '😉', '😂', '❤']
remnants of this past weekend	13 ✨	['📷', '😜', '💕', '😘', '😊']
got switched to a short shift tomorrow. yay! ( afh in federal way, wa)	17 😊	['😉', '😂', '😜', '💯', '😍']
lo ame!!! super cool rinks - anaheim ice	2 😍	['😎', '😊', '😁', '📸', '😉']
these 2. -chimborazo historic district	9 ❤	['🇺🇸', '📸', '😁', '✨', '😉']
long overdue but thank you grace_liuu for tagging me! marc.gamboa // i feel like i don't…	1 📸	['😂', '😘', '😉', '😊', '📸']
like i always say, it's casual!! my app:…	7 🔥	['😂', '😜', '😉', '📸', '💯']
with , california	7 🔥	['📸', '📷', '✨', '😎', '💙']
we'll see you at a&m university	16 😎	['💙', '💯', '💕', '💜', '😜']
with et al ️ ( fine arts theatre in maynard, ma)	9 ❤	['😍', '💜', '😊', '😉', '✨']
star wars, food and lots of laughs. love this two ️ …	9 ❤	['❤', '💕', '😘', '💜', '😍']
2017.central park ️... …	9 ❤	['📷', '📸', '😎', '❤', '☀']
gonna miss these nights with my favorite people central…	9 ❤	['💕', '💜', '❤', '😊', '💙']
quick trip to for the prettiest cupcakes ever market	15 💕	['😁', '😉', '😊', '😍', '😜']
trinity kids did an incredible job singing christmas carols and playing the handbells! great…	13 ✨	['🎄', '😂', '❤', '😉', '😍']
merry christmas eve-eve …	5 🎄	['🎄', '❤', '✨', '😘', '💕']
anything for you. ️ …	9 ❤	['😜', '📸', '😍', '😂', '😉']
classic this is included…	14 💙	['📷', '😍', '🔥', '😂', '🎄']
things just keep getting better and better 's pizza & subs	17 😊	['😉', '😜', '😂', '😁', '📷']
congrats on the big win today north high school	2 😍	['💙', '💯', '💜', '😁', '😎']
funny how that works! it's cool tho consulting &…	16 😎	['😎', '😂', '😁', '📸', '😜']
even forgot to check in! having lots of fun!!! ( & noble - in boston, ma)	2 😍	['🔥', '😉', '😁', '😂', '💯']
pineapple w/tajin...str8	7 🔥	['😜', '📸', '😍', '😂', '😉']
happy independence day weekend y'all stay thirsty . , california	11 🇺🇸	['🇺🇸', '😊', '😘', '📷', '💙']
happy birthday hope your day is nothing short of perfect st.…	9 ❤	['😘', '😊', '🇺🇸', '❤', '💜']
time to take this little guy home hospital	14 💙	['😊', '💙', '😉', '💜', '❤']
raymok bar and grill saturday night live bar and grill	13 ✨	['🔥', '😜', '😎', '✨', '💕']
hiking at memorial today park, houston	17 😊	['😁', '🇺🇸', '✨', '😍', '😎']
share and post …	7 🔥	['✨', '💜', '😊', '😉', '😂']
i'm currently taking cremas order for sunday pick up. all pick up orders will get 4 special of…	13 ✨	['😊', '😎', '😁', '😜', '😉']
mama's specialty. …	9 ❤	['😜', '📸', '😍', '😂', '😉']
peyton's first vote! …	11 🇺🇸	['😜', '📸', '😍', '😂', '😉']
good morning! ( in la jolla, ca)	10 😁	['😊', '☀', '😎', '😁', '😉']
out & about with my love draft: ultimate sports grill	8 😘	['❤', '💕', '😘', '💜', '💙']
before and after! looks like a new man! …	3 😂	['😉', '😂', '📸', '✨', '😜']
thank you for my new advent study!! …	8 😘	['✨', '🔥', '😘', '😊', '😍']
until next time, whenever that may be... farewell d.c. - washington dulles international…	9 ❤	['💯', '😊', '🇺🇸', '💜', '😁']
thank you for making me the luckiest man on the planet my love village	9 ❤	['😘', '❤', '💕', '💜', '💙']
chicago stand up!!! babe nightclub	7 🔥	['😘', '😍', '😎', '😜', '✨']
great class today !!! they brought the fire …	7 🔥	['😁', '😊', '😉', '😎', '😍']
still nigga county, georgia	3 😂	['💯', '😂', '📸', '✨', '💙']
omg chester, pennsylvania	3 😂	['😍', '😂', '💯', '💜', '😜']
visiting my old home community college	9 ❤	['💙', '😊', '❤', '😍', '😉']
1st competition was a success	19 💯	['💯', '📸', '😜', '💙', '😊']
"it's not bragging if you can back it up." -muhammad alipc : studiobtexas , texas	6 📷	['😎', '😂', '🇺🇸', '💯', '✨']
dave chappelle's show was absolutely the funniest i've ever witnessed! my only pic because they…	3 😂	['😂', '😜', '😍', '📸', '📷']
as if we needed to remind you... free yoga & beer tomorrow at 7pm at paddle…	4 😉	['😉', '🔥', '😁', '😜', '😊']
twinning with my bestie! love love love mr. eli! dogs pet boutique in…	14 💙	['❤', '💕', '😘', '💜', '😍']
had an amazing time at magooby's this weekend with sinbazo13 and the one and…	2 😍	['😊', '😍', '😁', '✨', '😎']
casual by the pool. summer vibes	16 😎	['☀', '😎', '📷', '📸', '✨']
absolutely breathtakingand i'm not just talking about the waterfall …	4 😉	['😉', '😂', '😜', '😁', '😍']
in your panda tutorial u said who ever fell in the living room well.... i fell and broke the glass table	3 😂	['😂', '💯', '😎', '📸', '😍']
, massachusetts	18 💜	['📸', '💕', '😘', '💙', '✨']
(get_repost)・・・ always learning by being smashed by the master…	11 🇺🇸	['😁', '📷', '😍', '😂', '💕']
happy birthday to another amazing roomie! so glad we were put together freshman year in jp2 …	18 💜	['😘', '❤', '😊', '💕', '💜']
